"id","sch","gr","cltype","hdeg","clad","exp","trace","read","math","ses","schtype","sx","eth","birthq","birthy","yrs","tch","ach_score"
"100017","28","K","small","BS/BA","1",3,"B",476,602,"F","inner","F","B","1980:1","1980",0,"478",1078
"100028","52","K","reg","MS/MA/MEd","1",12,"W",410,444,"N","suburb","F","W","1980:2","1980",0,"893",854
"100064","64","K","small","BS/BA","1",19,"W",430,484,"N","rural","F","W","1980:1","1980",0,"1102",914
"100070","40","K","reg","BS/BA","APPR",2,"W",495,576,"F","rural","F","W","1979:4","1979",0,"679",1071
"100096","22","K","small","BS/BA","PROB",9,"B",418,489,"F","inner","F","B","1980:1","1980",0,"351",907
"10010","17","K","small","MS/MA/MEd","1",20,"W",421,459,"N","suburb","M","W","1979:3","1979",0,"267",880
"100111","3","K","reg","BS/BA","1",8,"W",451,500,"N","rural","F","W","1980:1","1980",0,"33",951
"100124","32","K","small","BS/BA","1",14,"W",437,528,"F","inner","F","B","1980:2","1980",0,"542",965
"100143","26","K","reg+A","BS/BA","1",6,"B",455,434,"F","inner","M","B","1979:1","1979",0,"435",889
"100159","51","K","reg","BS/BA","1",11,"W",402,439,"N","suburb","F","W","1980:1","1980",0,"852",841
"100173","24","K","small","BS/BA","APPR",5,"B",433,473,"F","suburb","M","B","1980:2","1980",0,"399",906
"100201","71","K","small","BS/BA","1",20,"W",400,459,"N","rural","M","W","1980:3","1980",0,"1235",859
"10023","69","K","small","BS/BA","1",6,"W",442,536,"N","rural","M","W","1979:4","1979",0,"1200",978
"100236","62","K","small","MS/MA/MEd","1",6,"W",434,484,"N","rural","M","W","1980:2","1980",0,"1063",918
"100271","28","K","reg+A","MS/MA/MEd","1",10,"B",433,500,"F","inner","M","B","1980:1","1980",0,"484",933
"100285","11","K","small","BS/BA","1",11,"W",485,484,"F","rural","F","W","1980:2","1980",0,"175",969
"100302","20","K","reg+A","BS/BA","APPR",1,"B",463,528,"N","suburb","F","B","1980:2","1980",0,"312",991
"100318","72","K","small","MS/MA/MEd","1",6,"W",514,559,"F","rural","F","W","1980:2","1980",0,"1250",1073
"100361","21","K","small","MS/MA/MEd","1",14,"B",451,500,"N","suburb","F","W","1980:3","1980",0,"330",951
"100375","58","K","reg+A","BS/BA","1",17,"W",451,559,"N","suburb","M","W","1979:4","1979",0,"998",1010
"10044","49","K","reg+A","BS/BA","1",9,"W",424,528,"F","rural","F","W","1980:2","1980",0,"816",952
"100443","17","K","reg+A","BS/BA","1",8,"B",393,506,"F","suburb","F","B","1980:3","1980",0,"269",899
"100523","18","K","reg","BS/BA","1",9,"B",442,478,"N","inner","M","B","1980:3","1980",0,"283",920
"100557","8","K","reg+A","MS/MA/MEd","1",12,"W",431,489,"F","rural","F","W","1979:2","1979",0,"115",920
"100577","71","K","reg","BS/BA","1",6,"W",424,500,"N","rural","M","W","1980:1","1980",0,"1236",924
"100592","14","K","reg+A","BS/BA","APPR",1,"B",419,405,"F","inner","M","B","1980:1","1980",0,"217",824
"10061","18","K","reg","BS/BA","1",9,"B",421,484,"N","inner","M","B","1980:2","1980",0,"283",905
"100619","15","K","reg","MS/MA/MEd","1",11,"B",434,449,"F","inner","M","B","1980:3","1980",0,"230",883
"100721","17","K","reg+A","BS/BA","1",8,"B",425,513,"N","suburb","M","W","1980:1","1980",0,"269",938
"100727","29","K","small","BS/BA","1",5,"W",425,439,"F","inner","M","B","1979:4","1979",0,"502",864
"10074","1","K","reg","BS/BA",NA,5,"W",450,494,"N","rural","M","W","1980:3","1980",0,"2",944
"100766","50","K","reg","MS/MA/MEd","1",13,"W",424,489,"F","rural","M","B","1980:2","1980",0,"830",913
"100780","36","K","reg","BS/BA","1",15,"W",443,478,"N","suburb","F","W","1980:2","1980",0,"624",921
"100810","75","K","reg","MS/MA/MEd","1",11,"W",514,520,"N","rural","M","W","1980:3","1980",0,"1304",1034
"100854","76","K","reg+A","MS/MA/MEd","1",13,"W",460,559,"N","rural","F","W","1979:4","1979",0,"1327",1019
"10090","16","K","reg+A","BS/BA","1",6,"W",397,418,"F","inner","M","B","1980:3","1980",0,"245",815
"100925","72","K","reg","BS/BA","1",8,"W",527,506,"N","rural","F","W","1980:2","1980",0,"1252",1033
"100943","63","K","reg","BS/BA","1",10,"W",467,494,"N","rural","M","W","1980:1","1980",0,"1078",961
"100992","5","K","reg+A","BS/BA","1",8,"W",419,439,"F","rural","F","W","1980:1","1980",0,"69",858
"101047","54","K","small","MS/MA/MEd","1",12,"W",460,494,"N","suburb","F","W","1979:4","1979",0,"926",954
"101084","20","K","reg+A","BS/BA",NA,12,"B",425,463,"N","suburb","M","B","1980:2","1980",0,"313",888
"101095","50","K","reg","MS/MA/MEd","1",13,"W",410,429,"F","rural","F","W","1979:4","1979",0,"830",839
"101117","5","K","reg","BS/BA","1",8,"W",382,454,"F","rural","F","B","1980:2","1980",0,"68",836
"101130","28","K","small","MS/MA/MEd","1",8,"W",474,602,"N","inner","F","B","1980:3","1980",0,"480",1076
"101198","72","K","reg+A","MS/MA/MEd","1",10,"W",448,494,"N","rural","M","W","1980:2","1980",0,"1254",942
"101213","35","K","reg+A","BS/BA","1",12,"W",407,454,"F","rural","M","W","1980:2","1980",0,"608",861
"101229","27","K","small","BS/BA","1",11,"W",450,500,"F","inner","M","B","1980:2","1980",0,"447",950
"101243","30","K","reg","BS/BA","1",10,"B",467,547,"F","inner","F","B","1980:3","1980",0,"517",1014
"10125","27","K","reg","BS/BA","PROB",0,"B",450,439,"F","inner","F","B","1980:2","1980",0,"448",889
"101255","51","K","reg","BS/BA","1",11,"W",447,528,"N","suburb","M","W","1979:4","1979",0,"852",975
"101297","23","K","small","BS/BA","PROB",0,"W",472,576,"N","suburb","M","W","1980:1","1980",0,"379",1048
"101310","60","K","reg+A","BS/BA","APPR",5,"W",440,494,"F","urban","F","W","1980:2","1980",0,"1037",934
"101374","74","K","small","BS/BA","1",12,"W",437,463,"N","rural","F","W","1979:2","1979",0,"1287",900
"10139","20","K","reg","BS/BA",NA,4,"W",410,473,"F","suburb","M","B","1980:3","1980",0,"311",883
"101390","72","K","reg","BS/BA","1",8,"W",436,520,"F","rural","F","W","1980:2","1980",0,"1252",956
"101437","33","K","reg+A","MS/MA/MEd","1",5,"W",398,459,"F","inner","M","B","1980:2","1980",0,"570",857
"101470","53","K","reg+A","BS/BA","1",9,"W",424,494,"N","inner","F","W","1980:2","1980",0,"912",918
"101502","26","K","reg+A","BS/BA","1",6,"B",422,468,"F","inner","F","B","1980:2","1980",0,"435",890
"10153","74","K","small","BS/BA","1",14,"W",510,626,"N","rural","F","W","1980:3","1980",0,"1288",1136
"101537","54","K","reg+A","BS/BA","1",7,"W",455,494,"N","suburb","M","W","1980:1","1980",0,"928",949
"101627","27","K","reg","BS/BA",NA,6,"B",456,528,"F","inner","M","B","1980:3","1980",0,"449",984
"101658","74","K","small","BS/BA","1",14,"W",476,602,"N","rural","M","O","1979:3","1979",0,"1288",1078
"101724","47","K","small","MS/MA/MEd","PEND",11,"W",451,520,"N","rural","F","W","1980:2","1980",0,"775",971
"101757","57","K","small","MS/MA/MEd","1",8,"W",393,478,"N","rural","F","W","1980:2","1980",0,"979",871
"101774","30","K","reg+A","MS/MA/MEd","APPR",24,"W",503,559,"F","inner","F","B","1980:2","1980",0,"518",1062
"101786","37","K","reg","BS/BA","1",5,"W",407,484,"F","urban","M","B","1980:3","1980",0,"640",891
"101803","32","K","small","BS/BA","APPR",1,"B",443,444,"F","inner","F","B","1980:3","1980",0,"541",887
"101825","23","K","reg","BS/BA","1",20,"B",468,520,"N","suburb","F","B","1980:1","1980",0,"382",988
"101830","54","K","small","MS/MA/MEd","1",12,"W",440,478,"F","suburb","M","W","1979:4","1979",0,"926",918
"101854","51","K","small","MS/MA/MEd","1",15,"W",442,513,"N","suburb","M","W","1980:2","1980",0,"850",955
"101919","55","K","reg","MS/MA/MEd","1",13,"W",405,459,"N","rural","M","W","1980:1","1980",0,"943",864
"101948","58","K","small","BS/BA","1",5,"W",450,520,"N","suburb","M","W","1980:2","1980",0,"994",970
"101997","39","K","reg","BS/BA","1",4,"W",627,602,"N","rural","F","W","1980:2","1980",0,"663",1229
"102006","19","K","reg","BS/BA","1",6,"B",447,489,"F","inner","F","B","1979:4","1979",0,"288",936
"102078","27","K","reg","BS/BA",NA,6,"B",448,520,"F","inner","F","B","1980:2","1980",0,"449",968
"102112","52","K","reg+A","BS/BA","1",18,"W",430,489,"N","suburb","F","W","1980:1","1980",0,"894",919
"102185","16","K","reg","MA+","1",8,"W",405,399,"F","inner","M","B","1980:3","1980",0,"244",804
"102222","12","K","reg","BS/BA","1",20,"W",436,473,"F","rural","F","W","1980:2","1980",0,"191",909
"10225","45","K","reg","BS/BA","1",12,"W",418,423,"F","inner","M","B","1980:1","1980",0,"748",841
"102278","56","K","small","BS/BA","APPR",3,"W",388,434,"F","rural","M","W","1979:4","1979",0,"957",822
"102294","18","K","reg","BS/BA",NA,10,"B",407,454,"N","inner","F","B","1979:4","1979",0,"284",861
"10233","33","K","reg+A","MS/MA/MEd","1",22,"W",408,444,"F","inner","F","B","1980:3","1980",0,"571",852
"102336","15","K","reg","MS/MA/MEd","1",11,"B",428,506,"F","inner","M","B","1980:1","1980",0,"230",934
"102343","28","K","small","BS/BA",NA,2,"W",437,494,"N","inner","F","B","1979:4","1979",0,"476",931
"102362","68","K","reg","MS/MA/MEd","3",16,"W",503,528,"N","rural","M","W","1980:3","1980",0,"1178",1031
"102422","56","K","small","BS/BA","1",21,"W",400,418,"N","rural","M","W","1979:4","1979",0,"958",818
"102448","76","K","small","MS/MA/MEd","1",8,"W",413,439,"N","rural","M","W","1980:1","1980",0,"1321",852
"102488","48","K","small","MS/MA/MEd","1",17,"W",424,478,"F","urban","F","W","1979:4","1979",0,"793",902
"102589","36","K","reg+A","MS/MA/MEd","1",14,"W",431,468,"N","suburb","M","W","1980:2","1980",0,"625",899
"102604","8","K","small","BS/BA","1",8,"W",436,513,"N","rural","F","W","1980:2","1980",0,"111",949
"102614","13","K","reg+A","BS/BA","1",6,"W",490,626,"F","rural","F","W","1979:4","1979",0,"206",1116
"102671","51","K","reg+A","MA+","1",12,"W",442,513,"N","suburb","M","B","1980:1","1980",0,"855",955
"102701","49","K","reg+A","BS/BA","1",9,"W",468,484,"N","rural","M","W","1980:2","1980",0,"816",952
"102717","38","K","reg","MS/MA/MEd","1",13,"W",403,399,"F","rural","M","W","1980:2","1980",0,"650",802
"102730","48","K","reg+A",NA,NA,NA,NA,439,449,"F","urban","M","W","1980:3","1980",0,"797",888
"102753","51","K","reg+A","MA+","1",12,"W",450,489,"N","suburb","M","W","1980:1","1980",0,"855",939
"102814","51","K","reg","BS/BA","1",11,"W",443,506,"N","suburb","F","W","1980:2","1980",0,"852",949
"102879","17","K","reg+A","BS/BA","1",8,"B",408,494,"F","suburb","F","B","1980:1","1980",0,"269",902
"102913","33","K","small","BS/BA",NA,14,"B",442,494,"F","inner","M","B","1980:1","1980",0,"568",936
"102922","52","K","reg+A","BS/BA","1",18,"W",470,536,"N","suburb","F","W","1980:3","1980",0,"894",1006
"102967","76","K","small","MS/MA/MEd","1",8,"W",425,489,"N","rural","M","W","1979:4","1979",0,"1321",914
"10298","34","K","small","BS/BA","APPR",2,"W",467,500,"N","rural","F","W","1980:3","1980",0,"590",967
"103007","75","K","reg+A","MS/MA/MEd","1",11,"W",447,528,"N","rural","F","W","1980:1","1980",0,"1306",975
"103067","4","K","reg","BS/BA","1",8,"W",407,449,"F","suburb","M","W","1979:3","1979",0,"53",856
"103086","69","K","reg+A","MS/MA/MEd","1",6,"W",443,506,"N","rural","F","W","1980:2","1980",0,"1202",949
"103137","17","K","reg","BS/BA","1",0,"W",436,520,"N","suburb","F","A","1980:1","1980",0,"268",956
"10314","67","K","reg+A","BS/BA","1",13,"W",424,444,"F","rural","M","W","1980:3","1980",0,"1165",868
"103143","39","K","small","BS/BA","1",2,"W",431,500,"N","rural","F","W","1979:4","1979",0,"661",931
"103247","16","K","reg","MA+","1",8,"W",411,423,"F","inner","F","B","1980:1","1980",0,"244",834
"103265","72","K","reg+A","MS/MA/MEd","1",10,"W",442,506,"F","rural","M","W","1980:1","1980",0,"1254",948
"10329","4","K","reg","BS/BA","1",8,"W",436,468,"N","suburb","M","W","1980:3","1980",0,"53",904
"103312","72","K","reg+A","MS/MA/MEd","1",10,"W",437,478,"F","rural","M","W","1980:1","1980",0,"1254",915
"103340","72","K","reg+A","MS/MA/MEd","1",10,"W",421,429,"N","rural","F","W","1980:2","1980",0,"1254",850
"103409","24","K","reg+A","MS/MA/MEd","1",10,"W",430,468,"F","suburb","F","B","1980:1","1980",0,"402",898
"103417","25","K","small","BS/BA","1",12,"B",410,468,"N","suburb","F","W","1980:3","1980",0,"418",878
"103431","35","K","small","MS/MA/MEd","1",5,"W",470,536,"N","rural","M","W","1979:4","1979",0,"606",1006
"103473","32","K","small","BS/BA","APPR",1,"B",456,468,"F","inner","M","B","1980:1","1980",0,"541",924
"103486","20","K","reg","BS/BA",NA,4,"W",390,473,"F","suburb","M","B","1980:2","1980",0,"311",863
"103519","62","K","small","MS/MA/MEd","1",6,"W",439,500,"N","rural","F","W","1980:1","1980",0,"1063",939
"10353","63","K","reg","MS/MA/MEd","1",6,"W",447,536,"F","rural","F","B","1980:1","1980",0,"1077",983
"103536","79","K","small","BS/BA","1",5,"W",405,439,"F","rural","M","W","1979:1","1979",0,"1358",844
"103552","41","K","reg+A","BS/BA","1",16,"W",538,536,"N","suburb","M","W","1980:1","1980",0,"696",1074
"103576","7","K","reg","BS/BA","PROB",0,"W",483,559,"N","rural","F","W","1979:4","1979",0,"87",1042
"10363","44","K","small","BS/BA",NA,3,"W",468,494,"N","suburb","M","W","1980:3","1980",0,"731",962
"103647","27","K","small","BS/BA","1",11,"W",500,536,"N","inner","F","B","1980:1","1980",0,"447",1036
"103697","57","K","reg","BS/BA","APPR",2,"W",408,478,"N","rural","F","W","1980:1","1980",0,"980",886
"103702","3","K","small","Ed.S","1",10,"W",436,500,"F","rural","F","W","1979:4","1979",0,"32",936
"103742","48","K","reg+A",NA,NA,NA,NA,425,494,"F","urban","M","W","1980:2","1980",0,"797",919
"103755","31","K","small","BS/BA","1",6,"W",431,468,"F","inner","F","B","1979:3","1979",0,"529",899
"103769","66","K","reg","MS/MA/MEd","1",8,"B",422,434,"N","rural","F","W","1980:3","1980",0,"1140",856
"103840","44","K","reg+A","BS/BA",NA,0,"W",427,449,"F","suburb","M","B","1980:1","1980",0,"733",876
"103848","78","K","small","MA+","1",8,"W",400,418,"N","rural","F","W","1979:4","1979",0,"1346",818
"103872","19","K","small","BS/BA","1",6,"B",414,478,"F","inner","F","B","1980:1","1980",0,"287",892
"103881","79","K","small","BS/BA","1",12,"W",419,449,"F","rural","F","W","1979:3","1979",0,"1359",868
"103896","19","K","reg+A","BS/BA","APPR",1,"W",425,513,"F","inner","M","B","1980:4","1980",0,"290",938
"103951","34","K","reg+A","MS/MA/MEd","1",5,"W",433,468,"F","rural","M","W","1980:1","1980",0,"593",901
"103999","38","K","small","Ed.S","2",8,"W",487,520,"N","rural","F","W","1980:1","1980",0,"649",1007
"104027","28","K","reg+A","MS/MA/MEd","1",10,"B",421,463,"F","inner","F","B","1980:3","1980",0,"484",884
"104065","80","K","reg","MS/MA/MEd","1",4,"W",440,536,"N","rural","F","W","1980:1","1980",0,"1376",976
"104124","48","K","small","MS/MA/MEd","1",17,"W",485,602,"N","urban","F","W","1980:2","1980",0,"793",1087
"104135","50","K","small","BS/BA",NA,6,"W",414,489,"F","rural","F","W","1979:4","1979",0,"828",903
"104183","68","K","small","MS/MA/MEd","1",8,"W",480,528,"F","rural","F","W","1979:4","1979",0,"1176",1008
"104231","51","K","reg+A","MA+","1",12,"W",405,494,"N","suburb","M","W","1979:4","1979",0,"855",899
"104272","8","K","reg","MS/MA/MEd","1",13,"W",445,506,"N","rural","F","W","1980:1","1980",0,"114",951
"104310","71","K","reg+A","BS/BA",NA,2,"W",390,454,"F","rural","M","W","1979:4","1979",0,"1237",844
"104351","66","K","reg+A","BS/BA","1",3,"W",405,444,"F","rural","M","W","1980:1","1980",0,"1141",849
"104396","68","K","reg","BS/BA","2",10,"W",500,500,"N","rural","M","W","1980:2","1980",0,"1177",1000
"104414","44","K","reg","MS/MA/MEd","1",24,"W",433,473,"N","suburb","M","B","1980:2","1980",0,"732",906
"104481","63","K","reg+A","MS/MA/MEd","1",7,"W",447,536,"N","rural","M","W","1980:1","1980",0,"1079",983
"104491","47","K","small","MS/MA/MEd","PEND",11,"W",428,444,"N","rural","M","W","1980:3","1980",0,"775",872
"104511","8","K","small","BS/BA","1",8,"W",443,506,"N","rural","F","W","1980:1","1980",0,"111",949
"104554","62","K","reg+A","BS/BA","1",4,"W",436,494,"N","rural","M","W","1980:3","1980",0,"1065",930
"104592","66","K","small","BS/BA","1",15,"W",434,463,"F","rural","M","W","1980:1","1980",0,"1139",897
"104598","74","K","small","BS/BA","1",14,"W",507,626,"N","rural","M","W","1979:4","1979",0,"1288",1133
"104624","63","K","reg+A","MS/MA/MEd","1",7,"W",565,559,"N","rural","F","W","1980:1","1980",0,"1079",1124
"104641","50","K","reg","MS/MA/MEd","1",13,"W",427,489,"F","rural","M","W","1980:1","1980",0,"830",916
"104654","9","K","small","BS/BA","1",13,"W",455,484,"F","urban","M","W","1980:2","1980",0,"133",939
"104668","61","K","small","BS/BA","1",11,"W",410,459,"N","suburb","M","W","1980:2","1980",0,"1048",869
"104682","52","K","reg","MS/MA/MEd","1",12,"W",554,547,"N","suburb","F","W","1980:3","1980",0,"893",1101
"104717","18","K","reg","BS/BA",NA,10,"B",419,454,"F","inner","M","B","1980:2","1980",0,"284",873
"104727","24","K","reg+A","MS/MA/MEd","1",10,"W",419,449,"N","suburb","M","B","1979:4","1979",0,"402",868
"104744","8","K","reg","MS/MA/MEd","1",13,"W",453,494,"N","rural","M","W","1979:4","1979",0,"114",947
"104761","68","K","reg","MS/MA/MEd","3",16,"W",495,547,"F","rural","F","W","1980:3","1980",0,"1178",1042
"104808","69","K","reg","BS/BA","1",16,"W",427,454,"N","rural","F","W","1979:4","1979",0,"1201",881
"104857","49","K","small","BS/BA","1",8,"W",416,468,"N","rural","M","W","1979:3","1979",0,"814",884
"104878","34","K","reg+A","MS/MA/MEd","1",5,"W",393,434,"F","rural","M","W","1980:2","1980",0,"593",827
"104919","39","K","reg+A","MS/MA/MEd","1",5,"W",451,468,"F","rural","F","W","1979:4","1979",0,"664",919
"10492","55","K","small","BS/BA","1",15,"W",430,473,"N","rural","F","W","1980:2","1980",0,"941",903
"104959","3","K","reg","BS/BA","1",8,"W",440,520,"N","rural","F","W","1980:1","1980",0,"33",960
"105007","42","K","reg","BS/BA","PROB",14,"W",428,454,"N","suburb","F","W","1980:1","1980",0,"713",882
"105022","56","K","small","BS/BA","1",21,"W",419,484,"N","rural","F","W","1980:2","1980",0,"958",903
"105041","28","K","reg","MS/MA/MEd","1",7,"W",431,473,"F","inner","F","B","1979:1","1979",0,"481",904
"105088","72","K","small","BS/BA","1",16,"W",437,484,"F","rural","F","B","1980:1","1980",0,"1251",921
"105113","53","K","reg","MS/MA/MEd","PROB",3,"B",378,392,"F","inner","M","W","1980:3","1980",0,"911",770
"10512","63","K","reg+A","MA+","1",12,"W",388,454,"F","rural","M","B","1980:1","1980",0,"1080",842
"105134","14","K","small","MS/MA/MEd","1",13,"B",413,506,"F","inner","F","B","1980:2","1980",0,"216",919
"105166","70","K","small","BS/BA","1",8,"W",478,513,"N","rural","F","W","1980:2","1980",0,"1214",991
"105178","75","K","reg","MS/MA/MEd","1",13,"W",391,459,"N","rural","M","W","1980:3","1980",0,"1305",850
"105190","5","K","small","BS/BA","1",8,"W",413,489,"F","rural","M","W","1979:4","1979",0,"67",902
"105212","56","K","reg+A","BS/BA","1",7,"W",384,384,"F","rural","M","B","1980:2","1980",0,"961",768
"105222","40","K","reg","BS/BA","APPR",2,"W",497,576,"N","rural","F","W","1979:4","1979",0,"679",1073
"10523","25","K","reg+A","BS/BA",NA,2,"W",422,449,"F","suburb","F","W","1980:3","1980",0,"420",871
"105245","66","K","reg","MS/MA/MEd","1",8,"B",411,459,"F","rural","F","W","1980:2","1980",0,"1140",870
"105255","7","K","small","MA+","1",6,"W",421,506,"N","rural","M","W","1979:4","1979",0,"86",927
"105279","64","K","small","BS/BA","1",19,"W",418,489,"N","rural","M","W","1980:1","1980",0,"1102",907
"105289","64","K","small","BS/BA","1",19,"W",410,468,"F","rural","F","B","1980:3","1980",0,"1102",878
"105377","27","K","reg","BS/BA",NA,6,"B",465,506,"F","inner","M","B","1980:1","1980",0,"449",971
"105405","44","K","small","BS/BA","1",3,"W",408,449,"F","suburb","M","W","1979:2","1979",0,"730",857
"105430","3","K","small","BS/BA","1",9,"W",450,484,"F","rural","F","W","1979:4","1979",0,"31",934
"105455","20","K","reg+A","BS/BA","APPR",1,"B",408,418,"F","suburb","M","B","1980:1","1980",0,"312",826
"105468","22","K","small","BS/BA","PROB",9,"B",470,576,"F","inner","F","B","1980:2","1980",0,"351",1046
"105501","69","K","small","BS/BA","1",6,"W",408,429,"F","rural","M","W","1980:2","1980",0,"1200",837
"105517","8","K","reg","MS/MA/MEd","1",12,"W",453,520,"F","rural","F","W","1980:2","1980",0,"113",973
"105526","11","K","reg+A","BS/BA","1",13,"W",478,626,"N","rural","M","W","1979:4","1979",0,"177",1104
