307.000000 350.000000 318.000000	   304.000000 302.000000
429.000000 454.000000 440.000000	   455.000000 390.000000
383.000000 340.000000 400.000000	   455.000000 113.000000
198.000000 199.000000 200.000000	   97.000000 97.000000
110.000000 107.000000 104.000000	   121.000000 199.000000
360.000000 307.000000 318.000000	   304.000000 97.000000
140.000000 113.000000 232.000000	   225.000000 250.000000
250.000000 232.000000 350.000000	   400.000000 351.000000
318.000000 383.000000 400.000000	   400.000000 258.000000
140.000000 250.000000 250.000000	   122.000000 116.000000
79.000000 88.000000 71.000000	   72.000000 97.000000
91.000000 113.000000 97.500000	   97.000000 140.000000
122.000000 350.000000 400.000000	   318.000000 351.000000
304.000000 429.000000 350.000000	   350.000000 400.000000
70.000000 304.000000 307.000000	   302.000000 318.000000
121.000000 121.000000 120.000000	   96.000000 122.000000
97.000000 120.000000 98.000000	   97.000000 350.000000
304.000000 350.000000 302.000000	   318.000000 429.000000
400.000000 351.000000 318.000000	   440.000000 455.000000
360.000000 225.000000 250.000000	   232.000000 250.000000
198.000000 97.000000 400.000000	   400.000000 360.000000
350.000000 232.000000 97.000000	   140.000000 108.000000
70.000000 122.000000 155.000000	   98.000000 350.000000
400.000000 68.000000 116.000000	   114.000000 121.000000
318.000000 121.000000 156.000000	   350.000000 198.000000
232.000000 250.000000 79.000000	   122.000000 71.000000
140.000000 250.000000 258.000000	   225.000000 302.000000
350.000000 318.000000 302.000000	   304.000000 98.000000
79.000000 97.000000 76.000000	   83.000000 90.000000
90.000000 116.000000 120.000000	   108.000000 79.000000
225.000000 250.000000 250.000000	   250.000000 400.000000
350.000000 318.000000 351.000000	   231.000000 250.000000
258.000000 225.000000 231.000000	   262.000000 302.000000
97.000000 140.000000 232.000000	   140.000000 134.000000
90.000000 119.000000 171.000000	   90.000000 232.000000
115.000000 120.000000 121.000000	   121.000000 91.000000
107.000000 116.000000 140.000000	   98.000000 101.000000
305.000000 318.000000 304.000000	   351.000000 225.000000
250.000000 200.000000 232.000000	   85.000000 98.000000
90.000000 91.000000 225.000000	   250.000000 250.000000
258.000000 97.000000 85.000000	   97.000000 140.000000
130.000000 318.000000 120.000000	   156.000000 168.000000
350.000000 350.000000 302.000000	   318.000000 98.000000
111.000000 79.000000 122.000000	   85.000000 305.000000
260.000000 318.000000 302.000000	   250.000000 231.000000
225.000000 250.000000 400.000000	   350.000000 400.000000
351.000000 97.000000 151.000000	   97.000000 140.000000
98.000000 98.000000 97.000000	   97.000000 146.000000
121.000000 80.000000 90.000000	   98.000000 78.000000
85.000000 91.000000 260.000000	   318.000000 302.000000
231.000000 200.000000 200.000000	   140.000000 225.000000
232.000000 231.000000 200.000000	   225.000000 258.000000
305.000000 231.000000 302.000000	   318.000000 98.000000
134.000000 119.000000 105.000000	   134.000000 156.000000
151.000000 119.000000 131.000000	   163.000000 121.000000
